agent,board,magnitude,frequency,seed,label,condition,shift_idx,to_opponent,returns_to_A,shift_at_step,baseline,threshold80,min_rolling,perf_drop,end_rolling,disrupted,recovered,recovery_games,adapt_cost_games,adapt_cost_ksteps,segment_games
feudal,13x13,med,f3,1,med-f3,corner-phase2-med-f3-s1,1,corner,0,850541,0.75,0.6,0.22,0.53,0.63,1,1,532,182.53,90.52,674
feudal,13x13,med,f3,1,med-f3,corner-phase2-med-f3-s1,2,defensive,1,1200692,0.63,0.504,0.62,0.01,0.81,0,1,0,0.07,0.02,1401
feudal,13x13,med,f3,1,med-f3,corner-phase2-med-f3-s1,3,corner,0,1550527,0.81,0.648,0.47,0.34,0.73,1,1,249,123.24,57.15,735
feudal,13x13,med,f3,1,med-f3,corner-phase2-med-f3-s1,4,defensive,1,1900791,0.73,0.584,0.72,0.01,0.77,0,1,0,0.06,0.01,1314
feudal,13x13,med,f3,1,med-f3,corner-phase2-med-f3-s1,5,corner,0,2250757,0.77,0.616,0.54,0.23,0.83,1,1,80,35.94,16.48,785
feudal,13x13,med,f3,1,med-f3,corner-phase2-med-f3-s1,6,defensive,1,2600419,0.83,0.664,0.68,0.15,0.85,0,1,0,56.04,10.84,1678
feudal,13x13,med,f3,1,med-f3,corner-phase2-med-f3-s1,7,corner,0,2950521,0.85,0.68,0.66,0.19,0.75,1,1,14,24.17,9.8,815
feudal,13x13,med,f3,1,med-f3,corner-phase2-med-f3-s1,8,defensive,1,3300426,0.75,0.6,0.66,0.09,0.73,0,1,0,4.2,1.12,1048
feudal,13x13,med,f3,1,med-f3,corner-phase2-med-f3-s1,9,corner,0,3650311,0.73,0.584,0.39,0.34,0.49,1,1,2,68.24,43.63,579
feudal,13x13,med,f2,0,med-f2,corner-phase2-med-f2,0,defensive,1,500621,0.81,0.648,0.33,0.48,0.92,1,1,6,887.91,131.72,5240
feudal,13x13,med,f2,0,med-f2,corner-phase2-med-f2,1,corner,0,1401299,0.92,0.736,0.78,0.14,0.92,0,1,0,85.87,34.21,2450
feudal,13x13,med,f2,0,med-f2,corner-phase2-med-f2,2,defensive,1,2300446,0.92,0.736,0.81,0.11,0.84,0,1,0,98.79,26.61,3467
feudal,13x13,med,f2,0,med-f2,corner-phase2-med-f2,3,corner,0,3200805,0.84,0.672,0.53,0.31,0.55,1,1,95,168.66,141.24,972
feudal,13x13,low,f1,1,low-f1,corner-phase2-low-f1-s1,0,edge,1,501745,0.55,0.44,0.49,0.06,0.59,0,1,0,4.93,4.2,3461
feudal,13x13,low,f1,1,low-f1,corner-phase2-low-f1-s1,1,corner,0,3202100,0.59,0.472,0.33,0.26,0.58,1,1,3,123.5,96.35,1037
feudal,13x13,high,f3,1,high-f3,greedy-phase2-high-f3-s1,0,defensive,1,500244,0.61,0.488,0.34,0.27,0.52,1,1,1,280.55,37.42,2579
feudal,13x13,high,f3,1,high-f3,greedy-phase2-high-f3-s1,1,greedy,0,850297,0.52,0.416,0.4,0.12,0.66,1,1,1,8.65,1.6,1829
feudal,13x13,high,f3,1,high-f3,greedy-phase2-high-f3-s1,2,defensive,1,1200167,0.66,0.528,0.38,0.28,0.59,1,1,261,360.53,47.07,2666
feudal,13x13,high,f3,1,high-f3,greedy-phase2-high-f3-s1,3,greedy,0,1550219,0.59,0.472,0.43,0.16,0.58,1,1,11,34.41,6.83,1683
feudal,13x13,high,f3,1,high-f3,greedy-phase2-high-f3-s1,4,defensive,1,1900232,0.58,0.464,0.32,0.26,0.47,1,1,1,282.15,34.78,2781
feudal,13x13,high,f3,1,high-f3,greedy-phase2-high-f3-s1,5,greedy,0,2250420,0.47,0.376,0.18,0.29,0.5,1,1,3,160.44,30.78,1775
feudal,13x13,high,f3,1,high-f3,greedy-phase2-high-f3-s1,6,defensive,1,2600432,0.5,0.4,0.32,0.18,0.58,1,1,18,61.25,7.65,2648
feudal,13x13,high,f3,1,high-f3,greedy-phase2-high-f3-s1,7,greedy,0,2950283,0.58,0.464,0.57,0.01,0.77,0,1,0,0.06,0.01,1288
feudal,13x13,high,f3,1,high-f3,greedy-phase2-high-f3-s1,8,defensive,1,3300419,0.77,0.616,0.56,0.21,0.83,1,1,3,163.65,25.29,2207
feudal,13x13,high,f3,1,high-f3,greedy-phase2-high-f3-s1,9,greedy,0,3650448,0.83,0.664,0.58,0.25,0.79,1,1,1,98.64,27.77,1165
feudal,13x13,med,f1,2,med-f1,corner-phase2-med-f1-s2,0,defensive,1,500806,0.5,0.4,0.21,0.29,0.75,1,1,168,98.48,12.86,16684
feudal,13x13,med,f1,2,med-f1,corner-phase2-med-f1-s2,1,corner,0,3200534,0.75,0.6,0.54,0.21,0.76,1,1,2,100.31,26.13,2738
feudal,13x13,high,f3,0,high-f3,greedy-phase2-high-f3,0,defensive,1,500204,0.63,0.504,0.16,0.47,0.38,1,1,951,672.69,86.61,2687
feudal,13x13,high,f3,0,high-f3,greedy-phase2-high-f3,1,greedy,0,850183,0.38,0.304,0.28,0.1,0.56,1,1,2,5.43,1.17,1737
feudal,13x13,high,f3,0,high-f3,greedy-phase2-high-f3,2,defensive,1,1200392,0.56,0.448,0.26,0.3,0.51,1,1,39,391.2,50.25,2688
feudal,13x13,high,f3,0,high-f3,greedy-phase2-high-f3,3,greedy,0,1550304,0.51,0.408,0.35,0.16,0.57,1,1,19,69.5,13.87,1665
feudal,13x13,high,f3,0,high-f3,greedy-phase2-high-f3,4,defensive,1,1900213,0.57,0.456,0.23,0.34,0.3,1,1,78,350.09,45.47,2645
feudal,13x13,high,f3,0,high-f3,greedy-phase2-high-f3,5,greedy,0,2250373,0.3,0.24,0.29,0.01,0.57,0,1,0,0.04,0.01,1523
feudal,13x13,high,f3,0,high-f3,greedy-phase2-high-f3,6,defensive,1,2600228,0.57,0.456,0.49,0.08,0.62,0,1,0,6.16,0.93,2265
feudal,13x13,high,f3,0,high-f3,greedy-phase2-high-f3,7,greedy,0,2950152,0.62,0.496,0.53,0.09,0.68,0,1,0,2.94,0.79,1227
