game_idx,global_step,opponent,win,rolling,shift_idx,games_since_shift
677,54462,corner,1,0.8200,-1,0
678,54508,corner,0,0.8100,-1,0
679,54563,corner,1,0.8100,-1,0
680,54633,corner,1,0.8100,-1,0
681,54710,corner,1,0.8200,-1,0
682,55017,corner,0,0.8100,-1,0
683,55104,corner,1,0.8100,-1,0
684,55184,corner,1,0.8100,-1,0
685,55231,corner,0,0.8000,-1,0
686,55305,corner,1,0.8100,-1,0
687,55355,corner,0,0.8000,-1,0
688,55427,corner,1,0.8000,-1,0
689,55476,corner,0,0.7900,-1,0
690,55622,corner,1,0.7900,-1,0
691,55687,corner,1,0.7900,-1,0
692,55737,corner,1,0.8000,-1,0
