  Step     2,048 | Games     53 | WinRate(last100) 50.9% | epLen  38.6 | KL 0.0045
  Step   335,872 | Games 10,045 | WinRate(last100) 94.0% | epLen  32.1 | KL 0.0134
  Step   337,920 | Games 10,114 | WinRate(last100) 95.0% | epLen  29.9 | KL 0.0146
  Step   339,968 | Games 10,180 | WinRate(last100) 92.0% | epLen  30.3 | KL 0.0126
  Step   342,016 | Games 10,246 | WinRate(last100) 90.0% | epLen  30.9 | KL 0.0133
  Step   344,064 | Games 10,308 | WinRate(last100) 91.0% | epLen  31.7 | KL 0.0148
  Step   346,112 | Games 10,374 | WinRate(last100) 91.0% | epLen  31.6 | KL 0.0171
  Step   348,160 | Games 10,439 | WinRate(last100) 95.0% | epLen  31.3 | KL 0.0138
  Step   350,208 | Games 10,501 | WinRate(last100) 95.0% | epLen  32.3 | KL 0.0144
  Step   352,256 | Games 10,567 | WinRate(last100) 92.0% | epLen  31.8 | KL 0.0149
  Step   354,304 | Games 10,632 | WinRate(last100) 93.0% | epLen  31.4 | KL 0.0120
  Step   356,352 | Games 10,701 | WinRate(last100) 92.0% | epLen  30.6 | KL 0.0116
  Step   358,400 | Games 10,768 | WinRate(last100) 95.0% | epLen  30.2 | KL 0.0108
  Step   360,448 | Games 10,834 | WinRate(last100) 95.0% | epLen  30.9 | KL 0.0188
  Step   362,496 | Games 10,899 | WinRate(last100) 94.0% | epLen  31.1 | KL 0.0149
  Step   364,544 | Games 10,965 | WinRate(last100) 93.0% | epLen  31.1 | KL 0.0099
  Step   366,592 | Games 11,028 | WinRate(last100) 93.0% | epLen  31.7 | KL 0.0121
  Step   368,640 | Games 11,094 | WinRate(last100) 95.0% | epLen  31.6 | KL 0.0121
  Step   370,688 | Games 11,163 | WinRate(last100) 96.0% | epLen  30.3 | KL 0.0190
  Step   372,736 | Games 11,231 | WinRate(last100) 94.0% | epLen  29.7 | KL 0.0175
  Step   374,784 | Games 11,294 | WinRate(last100) 94.0% | epLen  31.6 | KL 0.0138
  Step   376,832 | Games 11,359 | WinRate(last100) 94.0% | epLen  31.6 | KL 0.0148
  Step   378,880 | Games 11,426 | WinRate(last100) 98.0% | epLen  31.1 | KL 0.0143
  Step   380,928 | Games 11,494 | WinRate(last100) 96.0% | epLen  30.4 | KL 0.0127
  Step   382,976 | Games 11,561 | WinRate(last100) 90.0% | epLen  30.4 | KL 0.0133
  Step   385,024 | Games 11,628 | WinRate(last100) 94.0% | epLen  30.7 | KL 0.0169
  Step   387,072 | Games 11,694 | WinRate(last100) 94.0% | epLen  30.8 | KL 0.0148
  Step   389,120 | Games 11,761 | WinRate(last100) 93.0% | epLen  31.1 | KL 0.0172
  Step   391,168 | Games 11,825 | WinRate(last100) 91.0% | epLen  31.6 | KL 0.0142
  Step   393,216 | Games 11,889 | WinRate(last100) 92.0% | epLen  32.5 | KL 0.0140
  Step   395,264 | Games 11,955 | WinRate(last100) 92.0% | epLen  31.5 | KL 0.0126
  Step   397,312 | Games 12,017 | WinRate(last100) 89.0% | epLen  33.0 | KL 0.0162
  Step   399,360 | Games 12,082 | WinRate(last100) 96.0% | epLen  32.5 | KL 0.0133
  Step   401,408 | Games 12,145 | WinRate(last100) 99.0% | epLen  31.8 | KL 0.0212
  ✓ saved ./models/ppo_go/ppo_go_401408.pt
  Step   403,456 | Games 12,205 | WinRate(last100) 92.0% | epLen  33.7 | KL 0.0124
  Step   405,504 | Games 12,270 | WinRate(last100) 94.0% | epLen  32.4 | KL 0.0224
  Step   407,552 | Games 12,333 | WinRate(last100) 97.0% | epLen  32.4 | KL 0.0163
  Step   409,600 | Games 12,396 | WinRate(last100) 98.0% | epLen  32.8 | KL 0.0131
  Step   411,648 | Games 12,459 | WinRate(last100) 98.0% | epLen  33.1 | KL 0.0135
  Step   413,696 | Games 12,520 | WinRate(last100) 96.0% | epLen  33.2 | KL 0.0159
  Step   415,744 | Games 12,584 | WinRate(last100) 92.0% | epLen  32.8 | KL 0.0147
  Step   417,792 | Games 12,648 | WinRate(last100) 94.0% | epLen  32.2 | KL 0.0134
  Step   419,840 | Games 12,711 | WinRate(last100) 96.0% | epLen  32.4 | KL 0.0106
  Step   421,888 | Games 12,774 | WinRate(last100) 94.0% | epLen  33.1 | KL 0.0162
  Step   423,936 | Games 12,834 | WinRate(last100) 96.0% | epLen  33.3 | KL 0.0157
  Step   425,984 | Games 12,894 | WinRate(last100) 95.0% | epLen  34.0 | KL 0.0154
  Step   428,032 | Games 12,954 | WinRate(last100) 97.0% | epLen  33.8 | KL 0.0129
  Step   430,080 | Games 13,014 | WinRate(last100) 95.0% | epLen  34.1 | KL 0.0147
  Step   432,128 | Games 13,080 | WinRate(last100) 96.0% | epLen  31.8 | KL 0.0141
  Step   434,176 | Games 13,142 | WinRate(last100) 96.0% | epLen  32.6 | KL 0.0216
  Step   436,224 | Games 13,207 | WinRate(last100) 96.0% | epLen  32.5 | KL 0.0135
  Step   438,272 | Games 13,270 | WinRate(last100) 94.0% | epLen  31.4 | KL 0.0144
  Step   440,320 | Games 13,331 | WinRate(last100) 95.0% | epLen  32.8 | KL 0.0151
  Step   442,368 | Games 13,395 | WinRate(last100) 96.0% | epLen  32.6 | KL 0.0165
  Step   444,416 | Games 13,458 | WinRate(last100) 95.0% | epLen  32.3 | KL 0.0164
  Step   446,464 | Games 13,521 | WinRate(last100) 96.0% | epLen  32.6 | KL 0.0137
  Step   448,512 | Games 13,582 | WinRate(last100) 98.0% | epLen  33.4 | KL 0.0119
  Step   450,560 | Games 13,643 | WinRate(last100) 97.0% | epLen  33.2 | KL 0.0146
  Step   452,608 | Games 13,702 | WinRate(last100) 97.0% | epLen  34.4 | KL 0.0230
  Step   454,656 | Games 13,766 | WinRate(last100) 98.0% | epLen  32.0 | KL 0.0143
  Step   456,704 | Games 13,828 | WinRate(last100) 100.0% | epLen  32.5 | KL 0.0209
  Step   458,752 | Games 13,896 | WinRate(last100) 97.0% | epLen  31.3 | KL 0.0128
  Step   460,800 | Games 13,958 | WinRate(last100) 96.0% | epLen  31.9 | KL 0.0221
  Step   462,848 | Games 14,021 | WinRate(last100) 95.0% | epLen  33.0 | KL 0.0117
  Step   464,896 | Games 14,086 | WinRate(last100) 95.0% | epLen  32.4 | KL 0.0154
  Step   466,944 | Games 14,146 | WinRate(last100) 96.0% | epLen  32.4 | KL 0.0152
  Step   468,992 | Games 14,210 | WinRate(last100) 98.0% | epLen  32.3 | KL 0.0138
  Step   471,040 | Games 14,272 | WinRate(last100) 100.0% | epLen  32.9 | KL 0.0154
  Step   473,088 | Games 14,335 | WinRate(last100) 99.0% | epLen  32.5 | KL 0.0144
  Step   475,136 | Games 14,399 | WinRate(last100) 98.0% | epLen  32.3 | KL 0.0115
  Step   477,184 | Games 14,462 | WinRate(last100) 97.0% | epLen  32.5 | KL 0.0165
  Step   479,232 | Games 14,529 | WinRate(last100) 98.0% | epLen  31.4 | KL 0.0114
  Step   481,280 | Games 14,593 | WinRate(last100) 95.0% | epLen  32.1 | KL 0.0226
  Step   483,328 | Games 14,660 | WinRate(last100) 98.0% | epLen  31.5 | KL 0.0144
  Step   485,376 | Games 14,726 | WinRate(last100) 97.0% | epLen  30.9 | KL 0.0154
  Step   487,424 | Games 14,790 | WinRate(last100) 95.0% | epLen  31.6 | KL 0.0119
  Step   489,472 | Games 14,853 | WinRate(last100) 95.0% | epLen  32.0 | KL 0.0173
  Step   491,520 | Games 14,920 | WinRate(last100) 98.0% | epLen  31.2 | KL 0.0146
  Step   493,568 | Games 14,986 | WinRate(last100) 96.0% | epLen  31.1 | KL 0.0157
  Step   495,616 | Games 15,050 | WinRate(last100) 95.0% | epLen  31.3 | KL 0.0129
  Step   497,664 | Games 15,113 | WinRate(last100) 96.0% | epLen  31.6 | KL 0.0201
  Step   499,712 | Games 15,177 | WinRate(last100) 98.0% | epLen  32.4 | KL 0.0165
  Step   501,760 | Games 15,242 | WinRate(last100) 97.0% | epLen  31.5 | KL 0.0105
  Step   503,808 | Games 15,309 | WinRate(last100) 96.0% | epLen  30.8 | KL 0.0147
  Step   505,856 | Games 15,375 | WinRate(last100) 100.0% | epLen  30.9 | KL 0.0131
  Step   507,904 | Games 15,441 | WinRate(last100) 100.0% | epLen  31.4 | KL 0.0171
  Step   509,952 | Games 15,504 | WinRate(last100) 97.0% | epLen  32.0 | KL 0.0187
  Step   512,000 | Games 15,563 | WinRate(last100) 96.0% | epLen  33.9 | KL 0.0095
  Step   514,048 | Games 15,625 | WinRate(last100) 97.0% | epLen  34.0 | KL 0.0162
  Step   516,096 | Games 15,690 | WinRate(last100) 99.0% | epLen  31.9 | KL 0.0190
  Step   518,144 | Games 15,754 | WinRate(last100) 99.0% | epLen  31.9 | KL 0.0135
  Step   520,192 | Games 15,817 | WinRate(last100) 97.0% | epLen  32.2 | KL 0.0138
